Main Food Description,Food code,WWEIA Category number,WWEIA Category Description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)"
"Breadsticks, hard, reduced sodium",51184100,5202,"Crackers, excludes saltines",434,12.01,72.23,1.34,2.5,10.86,1.443,4.086,4.135,0,0,0,0,0,0,0,41,0.737,0.386,5.791,0.066,82,27,167,109,9.7,0,0,0,0,2,0,9.7,18,113,30,5.33,0.95,0.167,23.3,131,4,0,0,0,0,0,0,0,0,0.005,1.073,0.278,0.041,3.976,0.063,0,3.692,0.44,0,0,0,0,0,4.38
"Breadsticks, hard, whole wheat",51306000,5202,"Crackers, excludes saltines",425,15.08,67.9,3.29,7.1,10.98,2.11,4.57,3.246,0,0,0,0,5,0,0,121,0.685,0.28,5.732,0.188,33,54,110,87,20.1,0,0,0,0,0.89,0,2.9,32,272,104,4.63,2.54,0.402,27.6,267,577,0,0,0,0,0,0,0,0.001,0.022,1.252,0.794,0.044,4.505,0.014,0.005,3.149,0.097,0,0,0,0,0,3.3
"Breadsticks, NFS",51183990,4204,Rolls and buns,342,12.18,44.39,1.11,2.4,12.85,2.96,2.772,6.148,7,23,24,0,7,0,0,10,0.492,0.559,7.066,0.103,123,24,233,147,7.5,0.13,0,0,0,0.88,0,21.1,87,129,22,4.64,1.02,0.107,22,132,615,0,0,0,0.038,0.028,0.016,0.042,0.061,0.221,1.773,0.665,0.067,2.621,0.053,0.002,5.399,0.723,0,0.01,0.004,0.002,0,28.32
"Breadsticks, NFS",51183990,4204,Rolls and buns,342,12.18,44.39,1.11,2.4,12.85,2.96,2.772,6.148,7,23,24,0,7,0,0,10,0.492,0.559,7.066,0.103,123,24,233,147,7.5,0.13,0,0,0,0.88,0,21.1,87,129,22,4.64,1.02,0.107,22,132,615,0,0,0,0.038,0.028,0.016,0.042,0.061,0.221,1.773,0.665,0.067,2.621,0.053,0.002,5.399,0.723,0,0.01,0.004,0.002,0,28.32
"Breadsticks, soft, fast food / restaurant",51184210,4204,Rolls and buns,342,12.18,44.39,1.11,2.4,12.85,2.96,2.772,6.148,7,23,24,0,7,0,0,10,0.492,0.559,7.066,0.103,123,24,233,147,7.5,0.13,0,0,0,0.88,0,21.1,87,129,22,4.64,1.02,0.107,22,132,615,0,0,0,0.038,0.028,0.016,0.042,0.061,0.221,1.773,0.665,0.067,2.621,0.053,0.002,5.399,0.723,0,0.01,0.004,0.002,0,28.32
"Breadsticks, soft, frozen",51184220,4204,Rolls and buns,313,11.09,46.37,2.8,2.4,9.16,2.108,1.954,4.444,4,14,14,0,4,0,0,24,0.488,0.432,6.152,0.099,105,23,201,128,10.3,0.08,0,0,0,0.62,0,12.7,137,123,24,4.13,0.96,0.114,22.5,126,503,0,0,0,0.024,0.017,0.012,0.027,0.042,0.138,1.263,0.5,0.049,1.859,0.036,0.001,3.918,0.514,0,0.007,0.003,0.001,0,31.31
"Breadsticks, soft, frozen",51184220,4204,Rolls and buns,313,11.09,46.37,2.8,2.4,9.16,2.108,1.954,4.444,4,14,14,0,4,0,0,24,0.488,0.432,6.152,0.099,105,23,201,128,10.3,0.08,0,0,0,0.62,0,12.7,137,123,24,4.13,0.96,0.114,22.5,126,503,0,0,0,0.024,0.017,0.012,0.027,0.042,0.138,1.263,0.5,0.049,1.859,0.036,0.001,3.918,0.514,0,0.007,0.003,0.001,0,31.31
"Breadsticks, soft, NFS",51184200,4204,Rolls and buns,342,12.18,44.39,1.11,2.4,12.85,2.96,2.772,6.148,7,23,24,0,7,0,0,10,0.492,0.559,7.066,0.103,123,24,233,147,7.5,0.13,0,0,0,0.88,0,21.1,87,129,22,4.64,1.02,0.107,22,132,615,0,0,0,0.038,0.028,0.016,0.042,0.061,0.221,1.773,0.665,0.067,2.621,0.053,0.002,5.399,0.723,0,0.01,0.004,0.002,0,28.32
"Breadsticks, soft, NFS",51184200,4204,Rolls and buns,342,12.18,44.39,1.11,2.4,12.85,2.96,2.772,6.148,7,23,24,0,7,0,0,10,0.492,0.559,7.066,0.103,123,24,233,147,7.5,0.13,0,0,0,0.88,0,21.1,87,129,22,4.64,1.02,0.107,22,132,615,0,0,0,0.038,0.028,0.016,0.042,0.061,0.221,1.773,0.665,0.067,2.621,0.053,0.002,5.399,0.723,0,0.01,0.004,0.002,0,28.32
"Breadsticks, soft, stuffed or topped with melted cheese",51184260,4204,Rolls and buns,333,14.48,36.41,1.25,1.9,14.36,4.705,3.147,5.069,19,59,60,0,6,0,0,8,0.398,0.519,5.675,0.099,98,24,191,122,8.6,0.42,0,0,0.1,0.8,0,17.1,208,209,23,3.75,1.54,0.092,22.9,129,632,0,0,0,0.109,0.089,0.055,0.135,0.165,0.554,2.496,0.933,0.119,3.018,0.05,0.002,4.467,0.594,0,0.014,0.004,0.004,0,32.19
"Breadsticks, soft, with parmesan cheese, fast food / restaurant",51184230,4204,Rolls and buns,344,12.52,43.76,1.09,2.3,13.15,3.205,2.843,6.051,9,27,28,0,7,0,0,10,0.483,0.555,6.929,0.102,120,24,228,144,7.6,0.15,0,0,0,0.87,0,20.7,103,139,22,4.56,1.08,0.105,22.2,133,637,0,0,0,0.047,0.036,0.021,0.054,0.074,0.263,1.884,0.704,0.073,2.695,0.053,0.002,5.316,0.71,0,0.011,0.004,0.002,0,28.22
"Breakfast bar, NFS",53714500,5402,Cereal bars,376,4.4,72.8,35.1,2.1,7.5,1.5,5,0.9,0,608,608,0,0,0,0,40,1,1.1,13.5,1.4,95,13,174,108,34.3,0,0,0,0,0.76,0,13.8,41,103,27,4.86,4.1,0.1,15,197,337,0,0,0,0,0,0,0,0.002,0.001,0.86,0.153,0.054,4.977,0.023,0.003,0.85,0.056,0,0,0,0,0,14.5
"Breakfast pastry, NFS",53500100,5506,"Doughnuts, sweet rolls, pastries",371,5.4,47.8,27.53,1.9,18.5,4.86,10.026,2.364,114,15,15,0,1,1,0,49,0.263,0.22,1.992,0.043,31,16,68,47,21.8,0.09,0,3.9,0,0.34,0,5.3,46,89,15,1.77,0.54,0.065,14.8,83,445,0,0,0,0.001,0,0,0,0,0.088,2.668,2.096,0.069,9.947,0.008,0,2.184,0.108,0.004,0.038,0.019,0,0.012,27.1
Breakfast tart,53530000,5506,"Doughnuts, sweet rolls, pastries",385,4.01,71.83,31,1.8,9.02,3.091,2.186,3.36,0,202,202,0,0,0,0,52,0.519,0.495,6.174,0.495,36,54,115,90,8.4,0.01,0,0,0,0.74,0,19.4,12,71,11,4.35,0.36,0.062,3.4,86,311,0,0,0,0,0,0,0.009,0.01,0.049,2.561,0.385,0.009,2.151,0.022,0,2.982,0.372,0,0.004,0,0,0,14.04
"Broccoflower, raw",75102600,6420,Other vegetables and combinations,31,2.95,6.09,3.03,3.2,0.3,0.047,0.028,0.133,0,0,8,0,93,0,0,42,0.08,0.102,0.734,0.222,0,57,57,57,57.1,0,0,88.1,0,0.04,0,20.2,33,62,20,0.73,0.64,0.041,0.6,300,23,0,0,0,0,0,0,0,0,0,0.038,0.004,0.004,0.023,0.001,0.001,0.029,0.104,0,0,0,0,0,89.79
"Broccoli raab, cooked",72103030,6407,Broccoli,46,3.2,2.88,0.39,2.7,3.15,0.778,0.985,0.981,2,11,137,0,1512,0,0,1074,0.147,0.124,1.17,0.181,0,63,63,63,18.7,0,0,14.3,0,2.03,0,228.1,109,74,22,2.16,0.78,0.042,1,198,159,0,0,0,0.019,0.013,0.008,0.018,0.021,0.066,0.453,0.153,0.015,0.921,0.012,0,0.705,0.275,0,0.001,0,0,0,89.5
"Broccoli raab, raw",72103000,6407,Broccoli,22,3.17,2.85,0.38,2.7,0.49,0.083,0.044,0.218,0,0,131,0,1573,0,0,1121,0.162,0.129,1.221,0.171,0,83,83,83,18.3,0,0,20.2,0,1.62,0,224,108,73,22,2.14,0.77,0.042,1,196,33,0,0,0,0,0,0,0,0,0,0.073,0.011,0,0.015,0,0,0.029,0.189,0,0,0,0,0,92.55
Broccoli slaw salad,75140510,6432,"Coleslaw, non-lettuce salads",123,1.97,10.41,6.32,1.9,8.11,1.245,1.694,4.426,9,4,82,304,784,0,0,511,0.065,0.095,0.551,0.142,0,47,47,47,16.3,0.02,0,59.5,0,0.86,0,81.6,35,57,16,0.54,0.33,0.049,2.1,233,295,0,0,0,0.003,0,0.006,0.003,0.001,0.007,0.839,0.321,0.01,1.622,0.041,0.016,3.834,0.594,0,0.004,0,0,0.001,78.19
"Broccoli, raw",72201100,6407,Broccoli,39,2.57,6.27,1.4,2.4,0.34,0.039,0.011,0.017,0,0,8,0,93,0,0,745,0.077,0.114,0.639,0.191,0,65,65,65,18.7,0,0,91.3,0,0.15,0,102,46,67,21,0.69,0.42,0.059,1.6,303,36,0,0,0,0,0,0,0,0,0.001,0.029,0.006,0,0.01,0,0,0.017,0.021,0,0,0,0,0,90
Bruschetta,51136000,3744,Vegetable sandwiches/burgers,171,4.29,21.32,3.34,1.5,7.61,1.227,4.603,1.175,0,0,26,57,275,0,1451,126,0.206,0.138,2.129,0.095,26,43,63,45,9.8,0,0,7.9,0,1.76,0,10.2,50,52,17,1.58,0.42,0.086,6.8,187,264,0,0,0,0.003,0,0.001,0.001,0.001,0.002,0.925,0.242,0.073,4.504,0.021,0,1.074,0.098,0,0.001,0.001,0,0,65.58
"Brussels sprouts, raw",75102750,6420,Other vegetables and combinations,43,3.38,8.95,2.2,3.8,0.3,0.062,0.023,0.153,0,0,38,6,450,0,0,1590,0.139,0.09,0.745,0.219,0,61,61,61,19.1,0,0,85,0,0.88,0,177,42,69,23,1.4,0.42,0.07,1.6,389,25,0,0,0,0,0,0.002,0,0,0,0.053,0.003,0.002,0.019,0,0,0.045,0.099,0,0.001,0,0,0,86
Buckwheat groats,56200510,4004,"Pasta, noodles, cooked grains",118,3.24,18.99,0.87,2.6,3.97,1.585,1.068,0.712,6,34,35,0,15,0,0,57,0.038,0.038,0.895,0.124,0,13,13,13,19.8,0,0,0,0.1,0.41,0,3.8,8,67,49,0.76,0.58,0.139,2.1,85,170,0,0,0,0.055,0.039,0.028,0.056,0.064,0.199,0.772,0.3,0.032,1.004,0.006,0.002,0.645,0.068,0,0.003,0.001,0.001,0,72.97
Buffalo sauce,74406060,8406,Mustard and other condiments,11,1.21,0.75,0.12,0.6,0.71,0.1,0.057,0.377,0,0,77,58,864,64,0,9,0.03,0.079,0.167,0.145,1,0,2,1,0,0,0,4.2,0,0.01,0,0.2,14,22,11,1.09,0.15,0.07,0.5,120,2917,0,0,0,0,0,0,0,0,0.002,0.085,0.013,0.002,0.055,0,0,0.374,0.003,0,0,0,0,0,89.48
"Bulgur, fat added",56207120,4004,"Pasta, noodles, cooked grains",121,2.9,17.31,0.12,4.2,5.07,2.13,1.305,0.856,9,48,50,0,23,0,0,50,0.053,0.027,0.931,0.15,0,17,17,17,7.4,0,0,0,0.1,0.48,0,3.3,11,38,30,0.9,0.53,0.07,0.6,65,243,0,0,0,0.079,0.056,0.034,0.076,0.089,0.279,1.03,0.42,0.041,1.224,0.009,0,0.776,0.082,0.001,0.004,0.001,0.002,0,73.8
"Burrito bowl, beef or pork",58102710,3506,Other Mexican mixed dishes,213,19.97,0.27,0.09,0,14.21,6.133,5.574,0.482,69,26,26,0,0,0,0,0,0.041,0.164,3.559,0.286,0,7,7,7,58.8,1.84,0,0,0.1,0.17,0,1.3,88,185,17,1.67,4.53,0.058,18.3,216,297,0,0,0,0.084,0.045,0.032,0.078,0.109,0.619,3.312,1.629,0.473,5.021,0.034,0,0.37,0.067,0,0.033,0.001,0.006,0,64.23
"Burrito bowl, chicken",58102750,3506,Other Mexican mixed dishes,161,21.04,0.27,0.09,0,8.11,3.286,2.704,1.147,93,31,31,0,0,0,0,3,0.066,0.167,5.135,0.459,0,4,4,4,63.6,0.34,0,0,0.1,0.22,0,2.8,79,202,22,0.54,1.31,0.039,21.5,211,301,0,0,0,0.084,0.045,0.033,0.077,0.102,0.328,1.957,0.581,0.355,2.449,0.028,0.001,0.975,0.063,0.001,0.062,0.004,0.008,0.004,69.89
"Burrito bowl, NFS",58102700,3506,Other Mexican mixed dishes,145,13.03,10.58,0.22,1,5.44,2.289,1.695,0.756,49,21,21,0,0,0,0,1,0.093,0.116,3.026,0.28,14,10,33,24,38.4,0.2,0,0.2,0.1,0.15,0,2.1,68,147,23,0.93,1.02,0.069,14.6,196,311,0,0,0,0.063,0.033,0.024,0.057,0.076,0.245,1.316,0.415,0.202,1.574,0.017,0,0.615,0.082,0,0.032,0.002,0.004,0.002,69.71
"Burrito, beef, cheese",58102310,3502,Burritos and tacos,267,13.28,28.33,2.16,2,10.68,4.311,3.4,1.516,30,11,11,0,0,0,0,5,0.305,0.232,4.055,0.157,45,12,88,57,29.8,0.79,0,0,0,0.07,0,4.7,121,197,20,2.79,2.26,0.084,20.6,165,454,0,0,0,0.036,0.019,0.014,0.034,0.05,0.286,2.38,1.362,0.207,3.143,0.028,0,1.338,0.158,0,0.014,0.001,0.002,0,45.92
"Burrito, cheese only",58102680,3502,Burritos and tacos,328,13.69,30.59,2.56,2.1,16.53,8.571,3.547,1.791,36,85,85,0,0,0,0,6,0.313,0.303,2.678,0.064,47,15,95,62,10.8,0.48,0,0,0.1,0.18,0,5.1,353,299,24,2.2,1.71,0.066,21.4,112,704,0,0,0,0.302,0.161,0.115,0.258,0.357,1.11,4.224,1.785,0.263,3.756,0.028,0,1.565,0.209,0.001,0.01,0.002,0.004,0,36.23
"Burrito, chicken, cheese",58102510,3502,Burritos and tacos,244,13.74,28.33,2.16,2,8.06,3.085,2.165,1.802,40,13,13,0,0,0,0,6,0.316,0.233,4.733,0.231,45,10,87,56,31.9,0.15,0,0,0,0.1,0,5.3,118,205,22,2.31,0.87,0.076,22,162,456,0,0,0,0.036,0.019,0.014,0.033,0.047,0.161,1.796,0.911,0.157,2.035,0.026,0,1.598,0.156,0,0.027,0.002,0.003,0.002,48.36
"Burrito, NFS",58102300,3502,Burritos and tacos,219,11.12,23.87,1.68,2.5,8.54,3.481,2.656,1.238,22,11,11,0,0,0,0,4,0.236,0.191,2.941,0.141,32,16,70,48,27.9,0.57,0,0.2,0,0.08,0,4,104,173,25,2.38,1.8,0.097,16.5,212,486,0,0,0,0.038,0.02,0.014,0.035,0.05,0.251,1.912,1.054,0.163,2.475,0.023,0,1.055,0.164,0,0.011,0,0.002,0,54.36
"Butter replacement, liquid",81103090,8004,Margarine,533,0.17,0.86,0,0,59.81,12.086,19.348,26.477,1,768,819,0,610,0,0,0,0.007,0.026,0.016,3.75,0,1,1,1,10.2,0,0,0.1,0,21.12,0,101.3,21,16,2,0,0,0,0,30,615,0,0,0,0.014,0.006,0.009,0.072,0.2,0.164,6.359,4.756,0.054,19.066,0.194,0,23.736,2.715,0,0,0,0.005,0,37.58
"Butter replacement, powder",81106010,8004,Margarine,373,2,89,5.3,0,1,0.589,0.276,0.057,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,23,8,0,2,0,0,0,2,1200,0,0,0,0.029,0.017,0.011,0.026,0.031,0.092,0.253,0.111,0.02,0.243,0,0,0.039,0.018,0,0,0,0,0,5
"Butter, light",81101520,8002,Butter and animal fats,499,3.3,0,0,0,55.1,34.321,15.927,2.046,106,456,465,0,107,0,0,0,0.01,0.07,0.02,0.01,0,1,1,1,12.9,0.13,0,0,0,1.58,0,4.8,48,34,5,1.09,0.26,0,1,71,450,0,0,0,1.788,1.06,0.619,1.38,1.55,5.547,14.499,6.682,1.237,13.867,0,0,1.244,0.802,0,0,0,0,0,42.1
"Butter, NFS",81100500,8002,Butter and animal fats,743,0.85,0.06,0.58,0,82.2,45.6,16.9,2.52,235,744,758,2,168,8,0,0,0.005,0,0,0,0,5,5,5,18.8,0,0,0,0.4,0,0,7,21,22,2,0.06,0.07,0.006,0,23,524,0,0,0,2.04,1.44,0.84,1.92,2.2,7.15,21.2,7.42,0.999,15,0.117,0.004,2.25,0.331,0.015,0.104,0.024,0.039,0.002,15.8
"Butter, stick",81101000,8002,Butter and animal fats,743,0.85,0.06,0.58,0,82.2,45.6,16.9,2.52,235,744,758,2,168,8,0,0,0.005,0,0,0,0,5,5,5,18.8,0,0,0,0.4,0,0,7,21,22,2,0.06,0.07,0.006,0,23,524,0,0,0,2.04,1.44,0.84,1.92,2.2,7.15,21.2,7.42,0.999,15,0.117,0.004,2.25,0.331,0.015,0.104,0.024,0.039,0.002,15.8
"Butter, tub",81101010,8002,Butter and animal fats,731,0.49,0,0.06,0,78.3,45.39,19.874,3.331,225,671,683,1,135,6,0,13,0.007,0.064,0.022,0.008,0,4,4,4,18.8,0.07,0,0,0,1.37,0,4.6,23,24,1,0.05,0.05,0.01,0,41,583,0,0,0,1.635,1.373,0.858,2.039,2.354,7.515,20.531,7.649,1.417,17.37,0.147,0.005,2.713,0.298,0.003,0.119,0.022,0.045,0.003,16.72
Buttermilk,11115300,1002,"Milk, whole",43,3.46,4.81,5.36,0,1.08,0.552,0.199,0.033,5,36,36,0,0,0,0,0,0.048,0.196,0.128,0.039,0,5,5,5,17.7,0.22,0,1,0.5,0.05,0,0.1,120,92,11,0.01,0.43,0.001,2,158,92,0,0,0,0.029,0.017,0.01,0.022,0.028,0.089,0.258,0.085,0.02,0.221,0,0,0.022,0.013,0,0,0,0,0,89.79
"Cabbage salad, NFS",75141040,6432,"Coleslaw, non-lettuce salads",45,0.79,8.93,5,2.4,0.8,0.164,0.447,0.035,2,0,75,321,742,0,0,41,0.047,0.038,0.276,0.106,0,32,32,32,8,0,0,26.6,0,0.16,0,44.8,32,23,11,0.09,0.17,0.012,0.3,174,269,0,0,0,0,0,0.006,0.006,0.058,0.025,0.042,0.027,0,0.447,0,0,0.03,0.005,0,0,0,0,0,88.2
"Cabbage, green, pickled",75502500,8408,"Olives, pickles, pickled vegetables",46,0.8,10.15,7.52,2.1,0.21,0.028,0.014,0.014,0,0,4,26,33,0,0,24,0.046,0.032,0.184,0.103,0,30,30,30,8.9,0,0,28.4,0,0.12,0,49.3,37,23,12,0.06,0.18,0.001,0.3,172,957,0,0,0,0,0,0,0,0,0,0.028,0,0,0.014,0,0,0.014,0,0,0,0,0,0,85.69
"Cabbage, green, raw",75103000,6413,Cabbage,31,0.96,6.38,3.2,2.5,0.23,0.034,0.017,0.017,0,0,5,33,42,0,0,30,0.061,0.04,0.234,0.138,0,43,43,43,10.7,0,0,40.3,0,0.15,0,59.4,42,27,14,0.07,0.21,0,0.3,207,16,0,0,0,0,0,0,0,0,0,0.034,0,0,0.017,0,0,0.017,0,0,0,0,0,0,91.87
"Cabbage, red, cooked",75212020,6413,Cabbage,58,1.26,6.85,3.87,2.1,2.86,0.715,0.953,0.841,2,11,65,0,647,0,19,315,0.058,0.066,0.401,0.179,0,15,15,15,17.5,0,0,46.2,0,0.51,0,34.8,32,37,13,0,0.24,0.004,0.6,272,138,0,0,0,0.019,0.013,0.008,0.018,0.022,0.067,0.398,0.143,0.015,0.918,0.012,0,0.71,0.13,0,0.002,0,0,0,88.08
"Cabbage, red, pickled",75502510,8408,"Olives, pickles, pickled vegetables",49,1.03,10.49,8.05,1.7,0.19,0.017,0.01,0.066,0,0,44,0,528,0,16,259,0.048,0.055,0.329,0.134,0,13,13,13,14.2,0,0,38,0,0.09,0,26.8,27,30,11,0,0.2,0.004,0.6,223,954,0,0,0,0,0,0,0,0.001,0.001,0.016,0.001,0,0.01,0,0,0.028,0.037,0,0.001,0,0,0,85.09
"Cabbage, red, raw",75105000,6413,Cabbage,34,1.24,6.79,3.83,2.1,0.21,0.021,0.012,0.08,0,0,56,0,670,0,20,329,0.064,0.069,0.418,0.179,0,18,18,18,17.1,0,0,53.9,0,0.11,0,32.3,31,36,13,0,0.24,0.004,0.6,269,12,0,0,0,0,0,0,0,0.001,0.001,0.019,0.001,0,0.012,0,0,0.034,0.045,0,0.001,0,0,0,91.14
"Cabbage, savoy, cooked",75213020,6413,Cabbage,51,2.02,6.16,2.29,3.1,2.75,0.707,0.948,0.81,2,11,60,0,580,0,0,74,0.064,0.029,0.288,0.189,0,69,69,69,12.6,0,0,26.6,0,0.57,0,71.6,36,43,28,0.41,0.27,0.063,0.9,232,154,0,0,0,0.019,0.013,0.008,0.018,0.021,0.066,0.391,0.143,0.015,0.913,0.012,0,0.697,0.113,0,0.001,0,0,0,87.94
"Cactus, raw",75105500,6420,Other vegetables and combinations,16,1.32,3.33,1.15,2.2,0.09,0.016,0.018,0.05,0,0,23,48,250,0,0,0,0.012,0.041,0.41,0.07,0,3,3,3,7.3,0,0,9.3,0,0,0,5.3,164,16,52,0.59,0.25,0.052,0.7,257,21,0,0,0,0,0,0,0,0,0,0.012,0.002,0.002,0.017,0,0,0.044,0.005,0,0,0,0,0,94.12
"Cake or cupcake, apple",53102200,5502,Cakes and pies,376,2.41,52.52,39.48,0.9,17.5,3.192,6.278,6.936,47,20,21,0,1,3,0,61,0.06,0.23,0.645,0.029,10,12,29,22,33.1,0.12,0,0.2,0.3,2.67,0,15.2,71,109,5,0.9,0.26,0.025,4.4,52,280,0,0,0,0,0,0,0,0,0.023,2.43,0.662,0.134,6.077,0.058,0,6.131,0.762,0,0,0,0,0,26.12
"Cake or cupcake, gingerbread",53111000,5502,Cakes and pies,276,3.64,45.34,28.3,1,9.16,2.351,5.013,1.238,32,14,14,0,1,2,0,41,0.17,0.162,1.392,0.027,16,10,37,26,27.2,0.06,0,0.1,0.2,0.2,0,3.9,62,152,14,2.98,0.32,0.154,3.7,217,411,0,0,0,0,0,0,0.001,0.001,0.044,1.27,1.054,0.019,5.008,0,0,1.131,0.056,0,0,0,0,0,40.05
"Cake or cupcake, NFS",53100100,5502,Cakes and pies,352,2.84,53.6,39.53,1,14.77,3.47,5.853,4.451,43,19,19,0,0,1,0,54,0.066,0.176,0.696,0.028,11,10,30,22,31.7,0.11,0,0,0.3,2.01,0,8.8,70,138,15,1.3,0.37,0.114,4.5,98,304,3,43,0,0,0,0,0,0,0.04,2.21,1.184,0.083,5.729,0.034,0,3.968,0.445,0,0,0,0,0,27.13
"Cake or cupcake, peanut butter",53115450,5502,Cakes and pies,382,6.12,47.52,32.34,2,19.85,4.078,8.127,6.429,43,19,19,0,0,1,0,54,0.084,0.224,2.653,0.094,11,24,42,35,39.9,0.11,0,0,0.3,3.13,0,9.8,74,177,42,1.4,0.77,0.178,5.1,158,332,6,51,0,0,0,0,0,0,0.022,2.586,0.915,0.101,7.82,0.12,0.007,5.859,0.495,0,0.003,0,0,0,24.57
"Calamari, cooked",26213120,2404,Shellfish,155,19.36,3.83,0.01,0,6.25,1.631,1.742,1.952,293,31,32,0,9,0,0,0,0.021,0.486,2.566,0.092,0,5,5,5,81.1,1.37,0,4.7,0,2.17,0,3.7,40,275,41,0.85,1.9,2.348,55.6,306,270,0,0,0,0.032,0.022,0.013,0.03,0.036,0.158,0.975,0.315,0.035,1.606,0.076,0.009,1.159,0.149,0.008,0.013,0.182,0.006,0.425,68.25
"Calamari, fried",26213140,2404,Shellfish,234,13.76,14.06,0.2,0.5,13.22,1.935,5.13,5.023,183,10,10,0,0,0,0,10,0.158,0.371,2.598,0.051,20,8,41,27,56.3,0.86,0,2.9,0,3.16,0,12,39,191,30,1.41,1.31,1.465,37.2,211,377,0,0,0,0,0,0,0,0,0.034,1.393,0.408,0.051,4.952,0.112,0.005,4.097,0.521,0.005,0.007,0.111,0.003,0.26,56.86
"Candy, nougat with nuts",91728000,5704,Candy not containing chocolate,444,8.38,72.64,42.64,3.6,13.34,3.236,6.234,2.346,0,0,0,0,0,0,0,0,0.048,0.132,3.822,0.128,0,28,28,28,20.4,0.02,0,0.2,0,2.62,0,0,63,126,61,1.25,1,0.23,3.8,415,132,0,0,0,0,0,0,0,0,0.008,1.93,0.532,0.009,6.054,0.15,0.013,2.318,0.008,0,0.005,0.012,0,0,4.56
"Cannelloni, cheese- and spinach-filled, no sauce",58134810,3204,"Pasta mixed dishes, excludes macaroni and cheese",157,6.31,18.36,0.75,1.1,6.51,2.622,2.48,0.573,44,49,118,0,831,3,0,1833,0.178,0.239,1.312,0.109,18,30,60,48,32,0.28,0,5.8,0.2,1.09,0,115.9,99,100,35,1.51,0.57,0.056,7.4,225,618,0,0,0,0.071,0.057,0.036,0.088,0.103,0.333,1.44,0.42,0.102,2.406,0.012,0.001,0.491,0.064,0,0.005,0.001,0.002,0,66.43
Canola oil,82105500,8012,Salad dressings and vegetable oils,900,0,0,0,0,100,6.61,62.6,25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,17.3,0,71.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,3.86,1.66,0.205,60.3,1.89,0,17.8,7.45,0,0,0,0,0,0
"Cantaloupe, raw",63109010,6014,Melons,38,0.82,8.16,7.88,0.8,0.18,0.051,0.003,0.081,0,0,232,0,2780,0,0,32,0.049,0.027,0.694,0.04,0,14,14,14,7.6,0,0,10.9,0,0.05,0,2.7,9,17,13,0.38,0.44,0.085,1.7,157,30,0,0,0,0,0,0,0,0.001,0.001,0.043,0.005,0,0.003,0,0,0.035,0.046,0,0,0,0,0,90.2
Cape Cod,93301032,7506,Liquor and cocktails,98,0,10.18,8.94,0,0.08,0.007,0.014,0.044,0,0,0,0,4,0,0,10,0.001,0.001,0.034,0,0,0,0,0,0.8,0,0,31.8,0,0.17,0,0.8,2,2,1,0.08,0.03,0.013,0.2,11,2,0,0,8.3,0,0,0,0,0,0,0.005,0.002,0.001,0.014,0,0,0.026,0.017,0,0,0,0,0,81.33
"Caramel dip, light",91306025,8806,"Jams, syrups, toppings",216,1.21,57.01,57,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,2,2,2,6.6,0.18,0,0.5,0,0.05,0,0,49,39,5,0,0,0,1.3,66,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.63
"Carrot juice, 100%",73105010,7008,Vegetable juice,40,0.95,9.28,3.91,0.8,0.15,0.027,0.007,0.071,0,0,956,4342,9303,0,2,333,0.092,0.055,0.386,0.217,0,4,4,4,9.9,0,0,8.5,0,1.16,0,15.5,24,42,14,0.46,0.18,0.046,0.6,292,66,0,0,0,0,0,0,0,0.002,0.001,0.021,0.001,0.002,0.005,0,0,0.061,0.009,0,0,0,0,0,88.87
